		score	sexo	idade	tempo	saldo	produto
1	0	597	0	35	8	131101	1	1	1	192853
0	0	523	0	40	2	102967	1	1	0	128702
0	1	706	0	42	8	95386.8	1	1	1	75732.2
0	0	788	1	32	4	112080	1	0	0	89368.6
1	0	706	1	38	5	163035	2	1	1	135662
0	1	670	0	57	3	175576	2	1	0	99061.8
0	1	590	1	34	0	65812.4	2	0	1	160346
0	1	636	0	29	6	157576	2	1	1	101102
0	0	598	0	64	9	0	1	0	1	13181.4
0	0	456	0	63	1	165351	2	0	0	140758
0	0	498	0	31	10	0	2	1	0	13892.6
0	1	714	1	45	8	150900	2	0	1	139889
1	0	488	0	33	4	140002	1	1	0	123614
1	0	562	0	31	9	117153	1	1	1	108675
1	0	772	0	51	9	143931	1	0	1	46675.5
1	0	667	1	55	9	154393	1	1	1	137675
0	0	513	0	43	9	0	2	1	0	152500
0	1	675	1	66	5	115654	2	1	1	131971
0	0	622	0	30	4	107879	1	0	1	196895
0	0	551	0	45	6	0	2	1	1	51143.4
1	0	663	1	42	7	115931	1	1	0	19862.8
0	0	850	1	35	2	0	2	1	1	56991.7
0	1	552	0	34	4	0	2	1	0	140287
0	0	444	1	34	2	144319	1	1	0	112668
0	0	794	1	35	6	0	2	1	1	68730.9
0	1	827	1	46	1	183276	1	1	1	13460.3
0	1	590	0	29	2	166931	2	1	0	122488
1	0	492	0	30	10	77168.9	2	0	1	146700
0	0	498	0	29	9	0	1	1	0	190036
0	0	757	0	44	4	123322	1	1	0	137136
0	0	626	0	34	3	0	2	1	1	37870.3
0	0	655	0	41	5	0	1	0	0	36548
0	0	483	1	29	9	0	1	1	1	81634.4
0	1	663	1	64	6	0	2	0	1	15876.5
0	0	736	0	36	6	0	1	1	0	70496.7
1	0	786	1	24	2	120136	2	1	1	125449
0	0	827	1	38	5	0	2	0	0	103305
0	0	781	0	27	5	0	2	0	0	72969.9
0	1	701	1	36	8	0	2	1	0	169161
0	0	649	0	35	4	108306	1	1	1	192486
0	0	574	0	34	7	152993	1	1	1	134691
0	1	743	1	41	7	0	1	1	0	163736
0	1	638	0	55	2	155828	1	0	1	108987
1	0	805	1	24	6	143221	2	1	0	186036
1	0	625	1	42	6	100047	1	1	0	93429.9
0	0	456	1	29	5	107000	1	1	1	153420
0	1	657	0	41	6	112119	1	1	0	17536.8
0	0	520	0	29	8	95947.8	1	1	0	4696.44
0	0	796	0	50	1	94164	1	1	1	189415
0	0	849	1	27	0	0	2	0	1	157892
0	0	619	0	55	0	0	3	0	0	60810.6
0	1	575	0	22	8	105229	1	1	1	34397.1
0	0	619	0	35	4	90413.1	1	1	1	20555.2
0	0	800	1	60	6	88541.6	2	1	1	131718
0	0	783	0	72	5	121216	2	1	1	105206
0	1	714	0	33	10	103121	2	1	1	49672
1	0	701	1	41	9	164046	1	1	0	49405.9
0	1	815	0	39	6	0	1	1	1	85167.9
0	0	649	0	45	5	92786.7	1	1	0	173366
0	0	672	0	40	3	0	1	1	0	113172
1	0	760	1	42	0	77993	2	1	1	97906.4
0	1	668	1	45	4	102486	2	1	1	158379
0	1	706	1	38	8	0	2	0	1	46635.1
0	0	626	1	38	7	141075	1	1	0	52795.6
0	0	807	0	47	9	167665	1	0	0	125440
0	0	688	0	54	9	0	1	1	0	191213
0	0	729	1	44	6	0	2	1	0	151733
0	0	501	0	41	3	144260	1	1	0	172115
1	0	692	1	24	2	120597	1	0	1	180491
1	0	668	1	56	9	110994	1	1	0	134397
0	1	516	0	65	9	102541	1	1	0	181490
0	1	675	1	35	8	0	2	1	0	29062.2
0	0	669	1	29	7	0	2	1	1	138146
1	0	684	0	63	3	81245.8	1	1	0	69643.3
0	1	773	0	41	5	0	1	1	0	28266.9
1	0	498	1	25	8	121703	1	1	1	132210
0	0	581	1	54	4	89299.8	1	0	0	5558.47
0	0	668	1	32	7	0	2	1	1	777.37
0	0	432	0	27	6	62339.8	2	0	0	53874.7
0	0	485	0	39	2	75339.6	1	1	1	70665.2
1	0	683	0	57	5	162449	1	0	0	9221.78
0	0	477	0	57	9	114024	2	1	1	71167.2
1	0	701	1	23	5	186101	2	1	1	76611.3
0	1	696	1	41	9	127524	1	0	1	191417
0	0	770	0	70	9	110739	1	1	0	22666.8
0	1	732	0	67	1	0	2	1	1	177783
0	0	657	1	32	3	118829	2	1	1	73127.6
0	0	740	0	37	9	0	2	1	1	73225.3
1	0	756	0	39	3	100718	3	1	1	73406
0	0	657	1	38	7	0	2	1	0	185828
1	0	618	0	40	1	133246	2	1	1	54495.8
0	1	629	0	44	6	125513	2	0	0	79082.8
1	0	544	1	39	4	142406	2	1	0	146637
1	0	816	0	38	5	130879	3	1	0	71905.8
0	0	643	1	33	4	0	2	1	1	152992
1	0	743	1	65	2	131936	1	1	1	96399.7
0	0	686	0	31	1	0	2	1	0	4802.25
0	0	834	0	28	6	0	1	1	0	74287.5
0	1	689	0	40	5	154252	1	0	1	118320
1	0	723	0	28	5	91938.3	1	1	0	143482
0	0	639	1	22	4	0	2	1	0	28189
1	0	588	1	35	3	104356	1	1	0	94498.8
0	0	672	1	39	2	0	2	1	0	87372.5
0	0	643	0	33	0	137812	1	1	1	184857
0	1	780	1	47	7	86006.2	1	1	1	37973.1
0	0	706	0	35	8	178033	1	0	1	42181.7
1	0	613	1	28	7	76656.4	2	1	1	185483
0	0	542	1	38	8	65942.3	1	1	1	68093.2
0	0	684	1	45	6	148071	1	1	0	183575
0	0	818	0	31	1	186796	1	0	0	178253
0	0	562	1	38	5	0	1	1	0	115700
0	0	576	0	52	9	170229	2	0	0	148478
0	1	556	1	46	3	131765	1	1	1	108501
0	1	706	1	68	4	114387	1	1	1	28601.7
1	0	666	0	50	7	109062	1	1	1	140136
0	0	503	0	28	5	0	2	1	0	125918
